date,B_fighter,R_fighter,Winner,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,R_draw,B_draw,B_Stance_Open_Stance,B_Stance_Orthodox,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_Stance_Southpaw,B_Stance_Switch,B_Stance_Switch ,R_Stance_Open_Stance
2014-02-22,TJ Waldburger,Mike Pyle,0,1,0,2,3,12,0,0,0,1,0,3,0,4,180.34,190.5,170,25,0,0,0,1,1,0,4,4,23,0,0,1,2,3,2,0,8,182.88,187.96,170,38,0,0,0,0
2013-11-16,Ali Bagautinov,Tim Elliott,1,0,1,1,0,3,0,0,0,0,1,0,0,1,162.56,165.1,125,28,0,0,0,1,0,2,2,1,9,0,0,0,2,0,0,0,2,170.18,167.64,135,26,0,0,0,0
2021-05-22,Jared Vanderaa,Justin Tafa,1,1,0,1,1,3,0,0,0,0,1,0,0,1,193.04,203.2,260,29,0,0,0,1,1,0,1,2,5,0,0,0,0,1,0,0,1,182.88,187.96,264,27,0,0,0,0
2019-04-20,Rafael Fiziev,Magomed Mustafaev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,155,26,0,0,0,0,1,0,2,1,5,0,0,0,0,1,0,1,2,172.72,180.34,155,30,0,1,0,0
2019-02-02,David Teymur,Charles Oliveira,0,0,5,5,0,13,0,0,0,3,2,0,0,5,175.26,185.42,155,29,0,0,0,0,0,3,4,9,40,0,0,0,1,0,12,0,13,177.8,187.96,155,29,1,0,0,0
2014-07-19,Diego Brandao,Conor McGregor,0,1,0,3,2,12,1,0,0,2,0,2,0,4,170.18,172.72,145,27,0,0,0,1,0,2,2,0,4,0,0,0,1,1,0,0,2,175.26,187.96,155,26,0,0,0,0
2016-10-08,Dan Henderson,Michael Bisping,0,0,1,4,8,42,3,0,2,3,4,0,0,9,180.34,187.96,185,46,0,0,0,1,0,4,4,7,70,2,0,2,7,10,0,0,19,185.42,190.5,185,37,0,0,0,0
2013-07-06,Roger Gracie,Tim Kennedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,200.66,185,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,187.96,185,33,0,0,0,0
2020-08-22,Shana Dobson,Mariya Agapova,1,3,0,1,3,9,0,0,0,0,1,0,0,1,167.64,175.26,125,31,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,167.64,172.72,125,23,0,0,0,0
2013-04-13,Gilbert Smith,Bubba McDaniel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,190.5,185,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,190.5,185,29,1,0,0,0
2016-03-05,Marcelo Guimaraes,Vitor Miranda,0,0,1,1,1,8,0,0,2,0,0,0,0,2,182.88,185.42,185,32,0,0,0,1,0,2,2,1,6,1,0,0,0,2,0,0,2,185.42,195.58,185,36,0,0,0,0
2010-12-04,Aaron Wilkinson,Cody McKenzie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,183.0,155,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,155,22,0,0,0,0
2017-09-22,Chanmi Jeon,Syuri Kondo,0,1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,170.18,115,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,167.64,115,28,0,0,0,0
2018-11-17,Anderson Dos Santos,Nad Narimani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,177.8,135,33,0,0,0,1,0,1,1,0,3,0,0,0,1,0,0,0,1,172.72,177.8,145,31,0,0,0,0
2021-04-24,Jimmy Crute,Anthony Smith,0,0,2,3,1,8,0,0,0,0,3,2,0,5,187.96,187.96,205,25,0,0,0,1,0,1,3,8,46,1,0,0,1,6,4,0,11,193.04,193.04,205,32,0,0,0,0
2012-04-14,Diego Nunes,Dennis Siver,0,0,1,1,1,9,0,0,1,1,0,0,0,2,167.64,170.18,145,29,0,0,0,1,1,0,4,5,27,0,0,0,3,3,2,0,8,167.64,177.8,145,33,0,0,0,0
2013-04-13,Kevin Casey,Josh Samman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,195.58,185,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,200.66,185,25,1,0,0,0
2021-02-13,Ian Heinisch,Kelvin Gastelum,0,0,1,3,2,14,0,0,0,2,2,0,0,4,180.34,182.88,185,32,0,0,0,1,3,0,5,6,44,1,0,3,2,3,2,0,10,175.26,180.34,185,29,0,0,0,0
2013-08-28,Erik Perez,Takeya Mizugaki,0,0,3,3,0,3,0,0,0,0,2,1,0,3,172.72,172.72,135,23,0,0,0,1,0,2,2,2,17,0,0,2,1,1,0,0,4,170.18,172.72,135,29,0,0,0,0
2017-10-28,Jack Marshman,Antonio Carlos Junior,0,0,1,1,1,7,0,0,0,1,1,0,0,2,182.88,185.42,185,27,0,0,0,1,0,2,2,3,19,1,0,0,2,0,2,0,4,187.96,200.66,185,27,0,0,0,0
2011-02-26,Jorge Rivera,Michael Bisping,0,0,3,3,5,23,0,0,1,2,4,0,0,7,185.42,185.42,185,38,0,0,0,1,0,2,4,3,29,1,0,1,3,6,0,0,10,185.42,190.5,185,31,0,0,0,0
2019-07-06,Nohelin Hernandez,Marlon Vera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,135,25,0,0,0,1,0,3,3,4,28,0,0,0,1,3,3,0,7,172.72,177.8,135,26,0,0,0,0
2014-03-01,Zhang Lipeng,Sai Wang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,180.34,155,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,170,28,1,0,0,0
2015-05-30,Norman Parke,Francisco Trinaldo,0,1,0,3,2,17,1,0,0,3,1,0,0,4,180.34,177.8,155,28,0,0,0,0,0,2,2,3,21,0,0,1,2,1,2,0,6,175.26,177.8,155,36,1,0,0,0
2012-01-14,Chad Mendes,Jose Aldo,0,0,2,2,0,6,0,0,0,2,0,0,0,2,167.64,167.64,145,26,0,0,0,1,0,2,2,0,10,2,0,0,2,0,0,0,2,170.18,177.8,145,25,0,0,0,0
2014-08-16,Sam Alvey,Tom Watson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,190.5,205,28,0,0,0,0,2,0,1,3,11,0,0,0,0,1,0,0,1,185.42,185.42,185,32,1,0,0,0
2015-08-08,Jonathan Wilson,Chris Dempsey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,190.5,205,28,0,0,0,0,0,1,1,1,4,0,0,1,0,0,0,0,1,177.8,182.88,185,27,1,0,0,0
2014-06-14,Tae Hyun Bang,Kajan Johnson,1,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,180.34,155,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,190.5,155,30,0,1,0,0
2017-03-11,Ray Borg,Jussier Formiga,1,0,1,3,2,16,0,0,0,2,0,2,0,4,162.56,160.02,135,23,0,0,0,1,0,1,3,3,19,0,0,0,4,0,1,0,5,165.1,170.18,125,31,0,0,0,0
2014-09-05,Chris Camozzi,Rafael Natal,0,3,0,4,5,29,0,0,2,2,0,1,1,6,187.96,193.04,185,27,0,0,0,1,2,0,3,5,27,0,0,0,4,0,1,0,5,182.88,193.04,185,31,0,0,0,0
2014-09-27,Takeya Mizugaki,Dominick Cruz,0,0,5,5,2,26,0,0,3,3,1,0,0,7,170.18,172.72,135,30,0,0,0,1,0,2,2,0,10,2,0,0,2,0,0,0,2,172.72,172.72,135,29,0,0,0,0
2018-06-23,Leon Edwards,Donald Cerrone,1,0,5,5,2,25,0,0,0,4,2,1,0,7,182.88,187.96,170,26,0,0,0,0,0,1,8,7,55,1,0,0,6,9,5,0,20,185.42,185.42,155,35,1,0,0,0
2016-08-20,Marvin Vettori,Alberto Uda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,185,22,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,190.5,195.58,185,32,1,0,0,0
2018-04-14,Cortney Casey,Michelle Waterson,0,1,0,2,4,17,0,0,0,1,1,1,0,3,170.18,170.18,115,30,0,0,0,1,2,0,2,2,9,0,0,0,0,0,2,0,2,160.02,157.48,115,32,0,0,0,0
2014-04-11,Jim Alers,Alan Omer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,145,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,145,25,0,0,0,0
2018-08-04,Kevin Holland,Thiago Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,205.74,185,25,0,0,0,1,1,0,4,5,21,0,0,0,1,8,0,0,9,187.96,193.04,205,34,0,0,0,0
2015-01-03,Paul Felder,Danny Castillo,1,0,1,1,0,3,0,0,1,0,0,0,0,1,180.34,177.8,155,30,0,0,0,1,1,0,3,4,29,0,0,1,4,2,0,0,7,175.26,180.34,155,35,0,0,0,0
2021-08-21,Brandon Royval,Alexandre Pantoja,0,1,0,2,1,5,0,0,0,0,0,2,0,2,175.26,172.72,125,29,0,0,0,0,0,1,3,3,24,0,0,1,2,2,2,0,7,165.1,170.18,125,31,1,0,0,0
2012-06-08,Scott Jorgensen,Eddie Wineland,0,1,0,2,1,7,0,0,0,1,1,0,0,2,165.1,167.64,135,29,0,0,0,1,2,0,0,2,6,0,0,0,0,0,0,0,0,170.18,175.26,135,27,0,0,0,0
2011-10-08,Brian Stann,Chael Sonnen,0,0,3,3,2,16,0,0,0,2,2,1,0,5,185.42,187.96,205,31,0,0,0,1,1,0,3,4,22,1,0,0,4,0,0,0,4,185.42,187.96,205,34,0,0,0,0
2011-12-10,Costas Philippou,Jared Hamman,1,0,1,1,1,6,0,0,1,0,0,0,0,1,180.34,185.42,185,32,0,0,0,1,0,1,1,2,9,0,0,0,1,1,0,0,2,190.5,190.5,185,29,0,0,0,0
2019-08-03,Clay Guida,Jim Miller,0,0,1,4,13,83,0,0,3,8,2,1,0,17,170.18,177.8,155,37,0,0,0,1,0,1,7,12,73,0,0,2,6,3,9,0,19,172.72,180.34,155,35,0,0,0,0
2021-10-02,Jared Gordon,Joe Solecki,1,0,2,2,3,19,0,0,0,4,1,0,0,5,175.26,172.72,145,33,0,0,0,1,0,4,4,0,8,0,0,0,2,0,2,0,4,175.26,177.8,155,28,0,0,0,0
2019-08-03,Robbie Lawler,Colby Covington,0,2,0,5,12,83,5,0,3,4,12,0,0,19,180.34,187.96,170,37,0,0,0,0,0,6,6,1,28,1,0,0,5,2,2,0,9,180.34,182.88,170,31,1,0,0,0
2016-08-06,Danielle Taylor,Maryna Moroz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.4,152.4,115,26,0,0,0,1,0,1,1,1,7,0,0,0,1,0,1,0,2,170.18,170.18,125,24,0,0,0,0
2021-07-17,Thiago Moises,Islam Makhachev,0,0,3,3,2,18,0,0,0,3,1,1,0,5,175.26,177.8,155,26,0,0,0,1,0,7,7,1,20,0,0,0,4,1,3,0,8,177.8,177.8,155,29,0,0,0,0
2015-05-30,Alex Oliveira,KJ Noons,1,1,0,0,1,3,0,0,0,0,0,0,0,0,180.34,193.04,170,27,0,0,0,1,1,0,2,2,9,0,0,0,1,1,0,0,2,177.8,182.88,155,32,0,0,0,0
2019-03-16,Nad Narimani,Mike Grundy,0,0,2,2,0,6,0,0,0,2,0,0,0,2,172.72,177.8,145,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,145,32,0,0,0,0
2019-04-27,Ion Cutelaba,Glover Teixeira,0,0,2,2,2,11,0,0,0,1,2,0,0,3,185.42,190.5,205,25,0,0,0,0,0,1,5,5,36,1,0,0,2,4,4,1,11,187.96,193.04,205,39,1,0,0,0
2015-07-25,Andrew Holbrook,Ramsey Nijem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,177.8,155,29,0,0,0,0,1,0,3,4,17,1,0,0,3,2,0,0,5,180.34,190.5,155,27,1,0,0,0
2010-06-19,Dennis Siver,Spencer Fisher,1,1,0,3,4,16,0,0,0,0,3,1,0,4,167.64,177.8,145,31,0,0,0,1,1,0,3,4,28,0,0,0,3,2,2,1,8,170.18,177.8,155,34,0,0,0,0
2020-07-25,Darren Till,Robert Whittaker,0,0,1,4,2,24,1,0,1,3,2,0,0,6,182.88,187.96,185,27,0,1,0,0,1,0,9,3,37,3,0,1,5,5,0,0,11,182.88,185.42,185,29,1,0,0,0
2013-06-15,Igor Pokrajac,Ryan Jimmo,0,2,0,3,5,20,0,0,0,1,2,1,0,4,182.88,193.04,205,34,0,0,0,1,1,0,1,1,4,0,0,0,0,1,0,0,1,185.42,185.42,205,31,0,0,0,0
2017-07-22,Kelvin Gastelum,Chris Weidman,0,1,0,5,3,28,1,0,2,2,2,2,0,8,175.26,180.34,185,25,0,0,0,0,3,0,9,3,29,5,0,0,3,4,2,0,9,187.96,198.12,185,33,1,0,0,0
2011-06-04,Anthony Pettis,Clay Guida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,170,24,0,0,0,1,0,3,3,5,33,0,0,2,1,1,4,0,8,170.18,177.8,155,29,0,0,0,0
2011-09-17,Jorge Lopez,Justin Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,183.0,170,22,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,177.8,177.8,155,28,0,0,0,0
2017-12-30,Carla Esparza,Cynthia Calvillo,1,1,0,1,2,11,2,0,0,1,0,1,0,2,154.94,160.02,115,30,0,0,0,1,0,3,3,0,7,0,0,0,1,0,2,0,3,162.56,162.56,115,30,0,0,0,0
2010-12-11,Charles Oliveira,Jim Miller,0,0,2,2,0,4,0,0,0,0,0,2,0,2,177.8,187.96,155,21,0,0,0,1,0,5,5,1,21,0,0,0,4,1,2,0,7,172.72,180.34,155,27,0,0,0,0
2018-11-24,Rashad Coulter,Hu Yaozong,1,3,0,0,3,5,0,0,0,0,0,0,0,0,180.34,193.04,205,36,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,190.5,182.88,205,23,0,0,0,0
2021-06-12,Hakeem Dawodu,Movsar Evloev,0,0,5,5,1,16,0,0,3,1,1,0,0,5,172.72,185.42,145,29,0,0,0,1,0,4,4,0,12,0,0,1,3,0,0,0,4,170.18,182.88,145,27,0,0,0,0
2012-07-21,Anton Kuivanen,Mitch Clarke,1,1,0,0,1,3,0,0,0,0,0,0,0,0,172.72,182.88,155,28,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,177.8,185.42,155,26,0,0,0,0
2010-12-04,Pablo Garza,Fredson Paixao,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,145,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,167.64,145,31,0,0,0,0
2016-11-26,Jenel Lausa,Yao Zhikui,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,172.72,125,28,0,0,0,1,1,0,1,2,7,0,0,1,0,0,0,0,1,165.1,162.56,125,25,0,0,0,0
2019-12-14,Jose Aldo,Marlon Moraes,0,1,0,7,4,48,10,0,0,6,4,0,0,10,170.18,177.8,135,33,0,0,0,1,1,0,4,2,12,1,0,1,0,2,0,0,4,167.64,170.18,135,31,0,0,0,0
2018-11-10,Luis Pena,Michael Trizano,0,0,1,1,0,1,0,0,0,0,0,1,0,1,190.5,190.5,155,25,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,1,180.34,180.34,155,26,1,0,0,0
2019-07-13,Ricky Simon,Urijah Faber,0,0,3,3,0,9,0,0,0,2,1,0,0,3,167.64,175.26,135,26,0,0,0,1,0,1,6,9,78,4,0,0,5,2,12,0,19,167.64,170.18,135,40,0,0,0,0
2017-10-28,Marlon Vera,John Lineker,0,0,3,3,2,15,0,0,0,1,1,2,0,4,172.72,177.8,135,24,0,0,0,0,1,0,6,3,32,0,0,1,3,5,1,0,10,160.02,170.18,135,27,0,1,0,0
2016-04-16,Michael Graves,Randy Brown,1,0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,180.34,170,25,0,0,0,1,0,1,1,0,3,0,0,0,1,0,0,0,1,190.5,198.12,170,25,0,0,0,0
2010-08-07,Charlie Brenneman,Johny Hendricks,0,0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,182.88,155,29,0,0,0,1,0,3,3,0,7,0,1,0,1,1,0,0,3,175.26,175.26,185,26,0,0,0,0
2019-04-13,Zelim Imadaev,Max Griffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,170,24,0,0,0,1,2,0,1,4,16,0,0,0,1,1,0,0,2,180.34,193.04,170,33,0,0,0,0
2020-12-19,Antonio Arroyo,Deron Winn,0,2,0,2,2,0,0,0,0,0,0,0,0,2,190.5,185.42,185,31,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,2,167.64,177.8,185,31,0,0,0,0
2016-05-08,Andrei Arlovski,Alistair Overeem,0,1,0,7,5,35,5,0,1,2,9,2,0,14,190.5,195.58,240,37,0,0,0,1,0,3,3,3,15,0,0,0,2,3,0,0,5,193.04,203.2,265,35,0,0,0,0
2019-08-03,Gerald Meerschaert,Trevin Giles,1,2,0,2,3,12,0,0,0,0,1,3,0,4,185.42,195.58,185,31,0,0,0,0,1,0,2,1,8,0,0,0,0,2,0,0,2,182.88,187.96,185,27,1,0,0,0
2016-11-19,Ali Bagautinov,Kyoji Horiguchi,0,0,1,3,2,20,1,0,0,3,1,0,0,4,162.56,165.1,125,31,0,0,0,1,0,2,4,1,20,1,0,0,4,2,0,0,6,165.1,167.64,125,26,0,0,0,0
2015-05-09,Bradley Scott,Dylan Andrews,1,1,0,1,2,7,1,0,0,0,0,1,0,1,185.42,193.04,170,25,0,0,0,1,2,0,2,2,7,0,0,0,0,2,0,0,2,185.42,185.42,185,35,0,0,0,0
2012-09-29,Duane Ludwig,Che Mills,0,2,0,2,4,14,0,0,1,2,1,0,0,4,177.8,177.8,170,34,0,0,0,1,1,0,1,1,3,0,0,0,0,1,0,0,1,185.42,193.04,170,30,0,0,0,0
2019-09-07,Davi Ramos,Islam Makhachev,0,0,4,4,1,11,0,0,0,1,0,3,0,4,167.64,177.8,155,32,0,0,0,1,0,5,5,1,13,0,0,0,3,1,2,0,6,177.8,177.8,155,27,0,0,0,0
2018-02-03,Polyana Viana,Maia Stevenson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,170.18,115,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,157.48,115,35,0,0,0,0
